epoch,phase,train_loss,train_acc,val_loss,val_bal_acc,lr
0,phase1,2.4173,0.3783,1.3766,0.4990,0.000333
1,phase1,2.0263,0.4986,1.3689,0.5075,0.000667
2,phase1,1.9244,0.5492,1.2326,0.5518,0.001000
3,phase1,1.9108,0.5489,1.2158,0.5718,0.001000
4,phase1,1.7327,0.5994,1.1037,0.6056,0.000983
5,phase1,1.7214,0.6060,1.1941,0.6115,0.000933
6,phase1,1.7401,0.6087,1.1240,0.6029,0.000854
7,phase1,1.6436,0.6314,1.0612,0.6415,0.000750
8,phase1,1.7031,0.6204,1.1308,0.6325,0.000629
9,phase1,1.6420,0.6420,1.0732,0.6492,0.000500
10,phase1,1.6122,0.6442,1.1150,0.6263,0.000371
11,phase1,1.5493,0.6621,1.0665,0.6521,0.000250
12,phase1,1.5444,0.6691,1.0604,0.6564,0.000146
13,phase1,1.6290,0.6461,1.0642,0.6572,0.000067
14,phase1,1.5927,0.6520,1.0600,0.6496,0.000017
0,phase2,1.5726,0.6606,1.0173,0.6655,0.000003
1,phase2,1.6402,0.6498,0.9999,0.6695,0.000007
2,phase2,1.5562,0.6713,1.0402,0.6588,0.000010
3,phase2,1.4938,0.6941,0.9662,0.6704,0.000010
4,phase2,1.4211,0.7186,0.8897,0.7096,0.000010
5,phase2,1.4915,0.6984,1.0897,0.6557,0.000010
6,phase2,1.4149,0.7255,0.9299,0.7124,0.000010
7,phase2,1.3873,0.7298,1.0238,0.6731,0.000009
8,phase2,1.3589,0.7388,0.9043,0.6912,0.000009
9,phase2,1.3890,0.7343,0.9173,0.7102,0.000008
10,phase2,1.2978,0.7652,0.8524,0.7524,0.000008
11,phase2,1.2194,0.7855,0.9386,0.7228,0.000007
12,phase2,1.2576,0.7743,0.8645,0.7509,0.000006
13,phase2,1.2545,0.7814,0.8831,0.7221,0.000006
14,phase2,1.2481,0.7828,0.8805,0.7413,0.000005
15,phase2,1.2574,0.7777,0.8493,0.7321,0.000004
16,phase2,1.2196,0.7873,0.8449,0.7420,0.000004
17,phase2,1.2236,0.7872,0.8568,0.7386,0.000003
18,phase2,1.2820,0.7639,0.8586,0.7530,0.000002
19,phase2,1.2653,0.7722,0.8581,0.7301,0.000002
20,phase2,1.1940,0.7922,0.8370,0.7522,0.000001
21,phase2,1.2172,0.7858,0.8534,0.7416,0.000001
22,phase2,1.1853,0.7946,0.8564,0.7531,0.000000
23,phase2,1.2172,0.7821,0.8477,0.7563,0.000000
24,phase2,1.1704,0.8010,0.8481,0.7492,0.000000
